204215,Hathras,yes
205001,Mainpuri,yes
205119,Mainpuri,yes
205121,Mainpuri,yes
205247,Mainpuri,yes
205261,Mainpuri,yes
205262,Mainpuri,yes
205263,Mainpuri,yes
205264,Mainpuri,yes
205265,Mainpuri,yes
205267,Mainpuri,yes
205268,Mainpuri,yes
206001,Etawah,yes
206002,Etawah,yes
206003,Etawah,yes
209121,Kanpur,yes
209214,Kanpur,yes
209304,Kanpur,yes
209305,Kanpur,yes
209307,Kanpur,yes
209601,Farrukhabad,yes
209602,Farrukhabad,yes
209621,Farrukhabad,yes
209625,Farrukhabad,yes
209722,Kannauj,yes
209724,Farrukhabad,yes
209725,Kannauj,yes
209726,Kannauj,yes
209727,Kannauj,yes
209732,Kannauj,yes
209733,Kannauj,yes
209734,Kannauj,yes
209736,Kannauj,yes
209738,Kannauj,yes
209739,Farrukhabad,yes
209745,Farrukhabad,yes
209749,Farrukhabad,yes
209801,Unnao,yes
209825,Unnao,yes
209831,Unnao,yes
209859,Unnao,yes
209862,Unnao,yes
212203,Allahabad,yes
212208,Allahabad,yes
212601,Fatehpur,yes
212622,Fatehpur,yes
212635,Fatehpur,yes
212645,Fatehpur,yes
212651,Fatehpur,yes
212654,Fatehpur,yes
212661,Fatehpur,yes
212663,Fatehpur,yes
221009,Varanasi,yes
221209,Varanasi,yes
221303,Bhadohi,yes
221310,Bhadohi,yes
221314,Bhadohi,yes
221401,Bhadohi,yes
221402,Bhadohi,yes
221404,Bhadohi,yes
221406,Bhadohi,yes
221409,Bhadohi,yes
221713,Ballia,yes
222001,Jaunpur,yes
222105,Jaunpur,yes
222109,Jaunpur,yes
222133,Jaunpur,yes
222138,Jaunpur,yes
222139,Jaunpur,yes
222180,Jaunpur,yes
222302,Sultanpur,yes
224001,Faizabad,yes
224123,Faizabad,yes
224126,Faizabad,yes
224127,Faizabad,yes
224135,Faizabad,yes
224158,Faizabad,yes
224182,Faizabad,yes
224188,Faizabad,yes
224189,Faizabad,yes
224201,Faizabad,yes
224202,Faizabad,yes
224203,Faizabad,yes
224204,Faizabad,yes
224206,Faizabad,yes
224228,Faizabad,yes
224284,Faizabad,yes
225001,Barabanki,yes
225002,Barabanki,yes
225003,Barabanki,yes
225121,Barabanki,yes
225122,Barabanki,yes
225123,Barabanki,yes
225203,Barabanki,yes
225204,Barabanki,yes
225208,Barabanki,yes
225301,Barabanki,yes
225303,Barabanki,yes
225412,Barabanki,yes
225414,Barabanki,yes
227202,Lucknow,yes
227304,Sultanpur,yes
227405,Amethi,yes
227408,Amethi,yes
227412,Amethi,yes
227413,Amethi,yes
227805,Sultanpur,yes
227808,Sultanpur,yes
227812,Sultanpur,yes
228001,Sultanpur,yes
228118,Sultanpur,yes
228119,Sultanpur,yes
228120,Sultanpur,yes
228125,Sultanpur,yes
228133,Sultanpur,yes
228141,Sultanpur,yes
228155,Sultanpur,yes
229001,Raebareli,yes
229010,Raebareli,yes
229121,Raebareli,yes
229130,Raebareli,yes
229316,Raebareli,yes
229405,Raebareli,yes
231001,Mirzapur,yes
231217,Renukoot,yes
231303,Mirzapur,yes
231307,Mirzapur,yes
231312,Mirzapur,yes
231501,Mirzapur,yes
232109,Varanasi,yes
242001,Shahjahanpur,yes
242223,Shahjahanpur,yes
242226,Shahjahanpur,yes
242306,Shahjahanpur,yes
242406,Shahjahanpur,yes
242407,Shahjahanpur,yes
243701,Rampur,yes
244221,Amroha,yes
244222,Amroha,yes
244236,Amroha,yes
244245,Amroha,yes
244251,Amroha,yes
244301,Moradabad,yes
244501,Moradabad,yes
244712,Kashipur,yes
244713,Kashipur,yes
244715,Ramnagar,yes
244717,Kashipur,yes
245101,Hapur,yes
